ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
1,Gateway North,#003,14505,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13450 Gateway Dr,Cash/Credit Card/PayByPhone,,49.200588,-122.850466
1,Gateway North,#004,14506,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13450 Gateway Dr,Cash/Credit Card/PayByPhone,,49.200508,-122.849673
1,Gateway North,#005,14507,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,10866 City Parkway,Cash/Credit Card/PayByPhone,,49.200285,-122.84903
1,Gateway North,#006,14508,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13479 108 Ave,Cash/Credit Card/PayByPhone,,49.199911,-122.84898
1,Gateway North,#007,14509,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,10822 City Parkway,Cash/Credit Card/PayByPhone,,49.199558,-122.848684
1,Gateway North,#008,14510,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13479 108 Ave,Cash/Credit Card/PayByPhone,,49.199228,-122.848916
1,Gateway North,#009,14511,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13401 108 Ave,Cash/Credit Card/PayByPhone,,49.199027,-122.849669
6,Marine Drive,#024,14526,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.5,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016507,-122.781622
8,Hospital North (136A St),#079,520015220784,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,2,$6.00,All Day,,,4356,Surrey,On,On-Street Parking,9,9632 136A St,Credit Card/PayByPhone,,49.177505,-122.844087
15,New City Hall Parkade,#215,520014230464,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
15,New City Hall Parkade,#216,520014230465,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
22,Green Timbers - Lot 2,,0,,,24 Hours,7 Days/Week,0,,,$85.00,,,Surrey,Off,Surface Gravel Off-Street,10,9800 140 St,Credit Card/PAP/Invoice,Monthly Parking Only,49.181056,-122.832859
15,New City Hall Parkade,#217,500013501581,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
15,New City Hall Parkade,#218,500013501588,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 12:00 AM,7 Days/Week,1.5,$7.00,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
